deviceId,packetUid,task,deadline,theoreticalStartTime,deviceTxStartTime,delayInStartTime,deviceTxFinishTime,deadlineFinishTime,delayInDeadline,onTime,gatewaysReceived,gatewaysExpected,gatewaysReceivedQty,gatewaysExpectedQty,gatewaysLost,gatewaysLostQty,otherLostLoRaPackets,receivedByNS,slot,inteferingPackets,inteferingNodes,collisionType
660,7864,10,283,47418,47418,0,47420.6,47432,11.400000000001455,1,1:4:3:2,1:4:3:2,4,4,,0,0,1,274,,,0
183,7865,10,188,47432,47432,0,47434.6,47446,11.400000000001455,1,4,4,1,1,,0,0,1,275,,,0
610,7866,10,332,47432,47432,0,47434.6,47446,11.400000000001455,1,2,2,1,1,,0,0,1,275,,,0
374,7867,10,285,47432,47432,0,47434.6,47446,11.400000000001455,1,1:3,1:3,2,2,,0,0,1,275,,,0
24,7868,10,201,47446,47446,0,47448.6,47460,11.400000000001455,1,4,4,1,1,,0,0,1,276,,,0
447,7869,10,334,47446,47446,0,47448.6,47460,11.400000000001455,1,2,2,1,1,,0,0,1,276,,,0
536,7870,10,285,47446,47446,0,47448.6,47460,11.400000000001455,1,3:1,3:1,2,2,,0,0,1,276,,,0
616,7871,10,335,47460,47460,0,47462.6,47474,11.400000000001455,1,3,3,1,1,,0,0,1,277,,,0
263,7872,10,287,47460,47460,0,47462.6,47474,11.400000000001455,1,2:1:4,2:1:4,3,3,,0,0,1,277,,,0
109,7873,10,288,47474,47474,0,47476.6,47488,11.400000000001455,1,1,1,1,1,,0,0,1,278,,,0
266,7874,10,336,47474,47474,0,47476.6,47488,11.400000000001455,1,3,3,1,1,,0,0,1,278,,,0
652,7875,10,201,47474,47474,0,47476.6,47488,11.400000000001455,1,4,4,1,1,,0,0,1,278,,,0
755,7876,10,335,47474,47474,0,47476.6,47488,11.400000000001455,1,2,2,1,1,,0,0,1,278,,,0
498,7877,10,288,47488,47488,0,47490.6,47502,11.400000000001455,1,1:2,1:2,2,2,,0,0,1,279,,,0
791,7878,10,338,47488,47488,0,47490.6,47502,11.400000000001455,1,4:3,4:3,2,2,,0,0,1,279,,,0
66,7879,10,340,47502,47502,0,47504.6,47516,11.400000000001455,1,3,3,1,1,,0,0,1,280,,,0
415,7880,10,207,47502,47502,0,47504.6,47516,11.400000000001455,1,4,4,1,1,,0,0,1,280,,,0
227,7881,10,291,47502,47502,0,47504.6,47516,11.400000000001455,1,2:1,2:1,2,2,,0,0,1,280,,,0
189,7882,10,336,47516,47516,0,47518.6,47530,11.400000000001455,1,2,2,1,1,,0,0,1,281,,,0
409,7883,10,211,47516,47516,0,47518.6,47530,11.400000000001455,1,4,4,1,1,,0,0,1,281,,,0
232,7884,10,291,47516,47516,0,47518.6,47530,11.400000000001455,1,3:1,3:1,2,2,,0,0,1,281,,,0
42,7885,10,340,47530,47530,0,47532.6,47544,11.400000000001455,1,3:4,3:4,2,2,,0,0,1,282,,,0
557,7886,10,291,47530,47530,0,47532.6,47544,11.400000000001455,1,2:1,2:1,2,2,,0,0,1,282,,,0
296,7887,10,292,47544,47544,0,47546.6,47558,11.400000000001455,1,1,1,1,1,,0,0,1,283,,,0
321,7888,10,341,47544,47544,0,47546.6,47558,11.400000000001455,1,3,3,1,1,,0,0,1,283,,,0
233,7889,10,336,47544,47544,0,47546.6,47558,11.400000000001455,1,2:4,2:4,2,2,,0,0,1,283,,,0
165,7890,10,293,47558,47558,0,47560.6,47572,11.400000000001455,1,1,1,1,1,,0,0,1,284,,,0
