deviceId,packetUid,task,deadline,theoreticalStartTime,deviceTxStartTime,delayInStartTime,deviceTxFinishTime,deadlineFinishTime,delayInDeadline,onTime,gatewaysReceived,gatewaysExpected,gatewaysReceivedQty,gatewaysExpectedQty,gatewaysLost,gatewaysLostQty,otherLostLoRaPackets,receivedByNS,delay,inteferingPackets,inteferingNodes,collisionType
87,3207,33,2,22041.9,22041.9,0,22044.6,22730.5,685.9000000000015,1,1,1,1,1,,0,0,1,6.83,,,0
8,3208,33,20,22042.8,22042.8,0,22045.4,22731.4,686,1,3,3,1,1,,0,0,1,7.667,,,0
97,3209,33,17,22043.1,22043.1,0,22045.7,22731.7,686,1,1,1,1,1,,0,0,1,8.014,,,0
73,3210,33,2,22043.2,22043.2,0,22045.8,22731.8,686,1,3:1,3:1,2,2,,0,0,1,8.11,,,0
93,3211,33,2,22043.4,22043.4,0,22046,22732,686,1,,1,0,1,1,1,0,0,8.294,3209,97,2
29,3212,33,46,22047.6,22047.6,0,22050.2,22736.2,686,1,1:3,1:3,2,2,,0,0,1,12.472,,,0
64,3213,33,3,22055.1,22055.1,0,22057.7,22743.7,686,1,3,3,1,1,,0,0,1,19.991,,,0
39,3214,33,24,22058.7,22058.7,0,22061.3,22747.3,686,1,2,1:2,1,2,1,1,0,1,23.569,3216,66,2
65,3215,33,4,22058.7,22058.7,0,22061.4,22747.3,685.8999999999978,1,3,3,1,1,,0,0,1,23.617,,,0
66,3216,33,18,22060.2,22060.2,0,22062.9,22748.8,685.8999999999978,1,,1,0,1,1,1,0,0,25.143,3214:3217,39:39:37:37,2
37,3217,33,18,22062.2,22062.2,0,22064.9,22750.8,685.8999999999978,1,3,3:1,1,2,1,1,0,1,27.129,3216,66,2
5,3218,33,17,22071.7,22071.7,0,22074.3,22760.3,686,1,2:4,2:4,2,2,,0,0,1,36.562,,,0
80,3219,33,9,22072,22072,0,22074.7,22760.6,685.8999999999978,1,2,2,1,1,,0,0,1,36.941,,,0
33,3220,33,12,22074.2,22074.2,0,22076.8,22762.8,686,1,,2,0,1,2,1,0,0,39.113,3219:3221,80:84,2
84,3221,33,13,22075.6,22075.6,0,22078.2,22764.2,686,1,1,1,1,1,,0,0,1,40.479,,,0
56,3222,33,7,22078.1,22078.1,0,22080.7,22766.7,686,1,4:2,4:2,2,2,,0,0,1,42.95,,,0
32,3223,33,4,22080.2,22080.2,0,22082.9,22768.8,685.8999999999978,1,1,1,1,1,,0,0,1,45.124,,,0
67,3224,33,10,22082.7,22082.7,0,22085.3,22771.3,686,1,2:4,2:4,2,2,,0,0,1,47.58,,,0
25,3225,33,9,22083.7,22083.7,0,22086.3,22772.3,686,1,,4,0,1,4,1,0,0,48.602,3226,41:41,2
41,3226,33,13,22084.4,22084.4,0,22087,22773,686,1,4:2,4:2,2,2,,0,0,1,49.298,,,0
57,3227,33,43,22090.4,22090.4,0,22093,22779,686,1,1:3,1:3,2,2,,0,0,1,55.316,,,0
75,3228,33,9,22096.3,22096.3,0,22098.9,22784.9,686,1,3:4,3:4,2,2,,0,0,1,61.202,,,0
24,3229,33,32,22099.1,22099.1,0,22101.7,22787.7,686,1,3,3,1,1,,0,0,1,64.002,,,0
42,3230,33,18,22099.3,22099.3,0,22101.9,22787.9,686,1,1,1,1,1,,0,0,1,64.188,,,0
10,3231,33,15,22100.5,22100.5,0,22103.1,22789,685.9000000000015,1,2:4,2:4,2,2,,0,0,1,65.349,,,0
59,3232,33,6,22100.7,22100.7,0,22103.3,22789.3,686,1,4,4,1,1,,0,0,1,65.582,,,0
27,3233,33,9,22102.3,22102.3,0,22104.9,22790.9,686,1,3,4:3,1,2,4,1,0,1,67.202,3232,59,2
77,3234,33,9,22105,22105,0,22107.6,22793.6,686,1,4,4,1,1,,0,0,1,69.881,,,0
74,3235,33,43,22106.6,22106.6,0,22109.3,22795.2,685.9000000000015,1,4,4:2,1,2,2,1,0,1,71.535,3236,20:20,2
20,3236,33,46,22109.1,22109.1,0,22111.7,22797.7,686,1,2,2:4,1,2,4,1,0,1,73.98,3235:3239:3240,74:74:40:40:9:9,2
26,3237,33,6,22109.8,22109.8,0,22112.4,22798.4,686,1,3:4,3:4,2,2,,0,0,1,74.698,,,0
47,3238,33,24,22109.9,22109.9,0,22112.6,22798.5,685.9000000000015,1,2,2,1,1,,0,0,1,74.831,,,0
40,3239,33,16,22110.7,22110.7,0,22113.3,22799.2,685.9000000000015,1,,2:4,0,2,2:4,2,0,0,75.547,3236:3240:3236:3240,20:20:9:9:20:20:9:9,2
9,3240,33,24,22110.8,22110.8,0,22113.4,22799.4,686,1,,2:1,0,2,2:1,2,0,0,75.711,3236:3239:3236:3239,20:20:40:40:20:20:40:40,2
48,3241,33,9,22117.3,22117.3,0,22119.9,22805.9,686,1,1:3,1:3,2,2,,0,0,1,82.175,,,0
6,3242,33,14,22118.5,22118.5,0,22121.1,22807.1,686,1,3,3,1,1,,0,0,1,83.403,,,0
94,3243,33,7,22120.7,22120.7,0,22123.3,22809.3,686,1,3:4:1,3:4:1,3,3,,0,0,1,85.591,,,0
71,3244,33,27,22121.2,22121.2,0,22123.8,22809.8,686,1,4:2,4:2,2,2,,0,0,1,86.064,,,0
50,3245,33,13,22121.7,22121.7,0,22124.3,22810.3,686,1,,4,0,1,4,1,0,0,86.562,3244,71:71,2
7,3246,33,10,22125.5,22125.5,0,22128.1,22814.1,686,1,4,4,1,1,,0,0,1,90.384,,,0
28,3247,33,11,22132.3,22132.3,0,22134.9,22820.9,686,1,4,4,1,1,,0,0,1,97.155,,,0
89,3248,33,11,22135.1,22135.1,0,22137.7,22823.7,686,1,1,1,1,1,,0,0,1,99.95,,,0
19,3249,33,37,22140.2,22140.2,0,22142.9,22828.8,685.8999999999978,1,2:4,2:4,2,2,,0,0,1,105.126,,,0
95,3250,33,12,22142.9,22142.9,0,22145.5,22831.5,686,1,1,1,1,1,,0,0,1,107.783,,,0
12,3251,33,33,22146.5,22146.5,0,22149.2,22835.1,685.8999999999978,1,1:3,1:3,2,2,,0,0,1,111.442,,,0
83,3252,33,45,22149.4,22149.4,0,22152,22838,686,1,1,1,1,1,,0,0,1,114.299,,,0
49,3253,33,15,22153.8,22153.8,0,22156.4,22842.4,686,1,1,1,1,1,,0,0,1,118.657,,,0
85,3254,33,14,22153.9,22153.9,0,22156.5,22842.5,686,1,4,4,1,1,,0,0,1,118.811,,,0
54,3255,33,13,22155.5,22155.5,0,22158.1,22844.1,686,1,4:3,4:3,2,2,,0,0,1,120.398,,,0
14,3256,33,11,22157.9,22157.9,0,22160.5,22846.5,686,1,4,4,1,1,,0,0,1,122.775,,,0
16,3257,33,20,22160.3,22160.3,0,22162.9,22848.9,686,1,1,1,1,1,,0,0,1,125.192,,,0
90,3258,33,22,22162.3,22162.3,0,22165,22850.9,685.9000000000015,1,2,2:1,1,2,1,1,0,1,127.224,3257,16,2
31,3259,33,37,22166.6,22166.6,0,22169.2,22855.2,686,1,2:4,2:4,2,2,,0,0,1,131.474,,,0
69,3260,33,15,22174.6,22174.6,0,22177.2,22863.2,686,1,3:4,3:4,2,2,,0,0,1,139.508,,,0
99,3261,33,36,22184.9,22184.9,0,22187.5,22873.5,686,1,1,1,1,1,,0,0,1,149.754,,,0
21,3262,33,13,22195,22195,0,22197.6,22883.5,685.9000000000015,1,4,4,1,1,,0,0,1,159.849,,,0
22,3263,33,19,22195.4,22195.4,0,22198.1,22884,685.9000000000015,1,1,1,1,1,,0,0,1,160.326,,,0
70,3264,33,43,22200.7,22200.7,0,22203.4,22889.3,685.8999999999978,1,3:1,3:1,2,2,,0,0,1,165.623,,,0
91,3265,33,18,22201.9,22201.9,0,22204.5,22890.5,686,1,4,4,1,1,,0,0,1,166.772,,,0
63,3266,33,34,22204.9,22204.9,0,22207.5,22893.5,686,1,1,1,1,1,,0,0,1,169.75,,,0
61,3267,33,26,22209.5,22209.5,0,22212.2,22898.1,685.8999999999978,1,1:2,1:2,2,2,,0,0,1,174.417,,,0
38,3268,33,23,22217.1,22217.1,0,22219.7,22905.6,685.8999999999978,1,4:2,4:2,2,2,,0,0,1,181.947,,,0
13,3269,33,23,22227.2,22227.2,0,22229.8,22915.8,686,1,4,4,1,1,,0,0,1,192.099,,,0
55,3270,33,31,22234.5,22234.5,0,22237.2,22923.1,685.8999999999978,1,3:1,3:1,2,2,,0,0,1,199.434,,,0
68,3271,33,40,22249.4,22249.4,0,22252,22938,686,1,2:4,2:4,2,2,,0,0,1,214.291,,,0
72,3272,33,21,22250.8,22250.8,0,22253.4,22939.4,686,1,4,4,1,1,,0,0,1,215.667,,,0
11,3273,33,37,22262.6,22262.6,0,22265.3,22951.2,685.9000000000015,1,2,2,1,1,,0,0,1,227.538,,,0
46,3274,33,46,22265.9,22265.9,0,22268.5,22954.5,686,1,1:3,1:3:4,2,3,4,1,0,1,230.806,3275,34:34:34,2
34,3275,33,22,22268.4,22268.4,0,22271.1,22957,685.9000000000015,1,4:3:2,4:3:2,3,3,,0,0,1,233.317,,,0
30,3276,33,20,22303.4,22303.4,0,22306.1,22992,685.9000000000015,1,3,3,1,1,,0,0,1,268.324,,,0
53,3277,33,46,22312.3,22312.3,0,22314.9,23000.9,686,1,2,2,1,1,,0,0,1,277.192,,,0
17,3278,33,41,22316.6,22316.6,0,22319.2,23005.2,686,1,2:4,2:4,2,2,,0,0,1,281.479,,,0
92,3279,33,39,22326.2,22326.2,0,22328.8,23014.8,686,1,4,4,1,1,,0,0,1,291.089,,,0
82,3280,33,27,22329,22329,0,22331.6,23017.6,686,1,4,4,1,1,,0,0,1,293.855,,,0
43,3281,33,42,22332.1,22332.1,0,22334.7,23020.7,686,1,2,2,1,1,,0,0,1,296.972,,,0
44,3282,33,29,22335.3,22335.3,0,22337.9,23023.9,686,1,1:3:4,1:3:4,3,3,,0,0,1,300.193,,,0
15,3283,33,28,22349.5,22349.5,0,22352.1,23038.1,686,1,2,2,1,1,,0,0,1,314.375,,,0
78,3284,33,40,22351.4,22351.4,0,22354,23040,686,1,3,3,1,1,,0,0,1,316.292,,,0
18,3285,33,41,22356.7,22356.7,0,22359.3,23045.3,686,1,1:3,1:3,2,2,,0,0,1,321.564,,,0
2,3286,33,26,22363.6,22363.6,0,22366.3,23052.2,685.9000000000015,1,1,1,1,1,,0,0,1,328.529,,,0
51,3287,33,28,22384.7,22384.7,0,22387.3,23073.3,686,1,1:2,1:2,2,2,,0,0,1,349.554,,,0
4,3288,33,44,22384.7,22384.7,0,22387.4,23073.3,685.8999999999978,1,1:3,1:3,2,2,,0,0,1,349.624,,,0
1,3289,33,35,22394.3,22394.3,0,22396.9,23082.9,686,1,3:1,3:1,2,2,,0,0,1,359.185,,,0
60,3290,33,31,22418.2,22418.2,0,22420.9,23106.8,685.8999999999978,1,4:3,4:3,2,2,,0,0,1,383.12,,,0
79,3291,33,39,22437,22437,0,22439.6,23125.5,685.9000000000015,1,4,4,1,1,,0,0,1,401.848,,,0
62,3292,33,32,22454.7,22454.7,0,22457.3,23143.3,686,1,3,3,1,1,,0,0,1,419.595,,,0
52,3293,33,46,22472,22472,0,22474.6,23160.6,686,1,2:4,2:4,2,2,,0,0,1,436.851,,,0
86,3294,33,42,22473.6,22473.6,0,22476.2,23162.2,686,1,1:3,1:3,2,2,,0,0,1,438.495,,,0
88,3295,33,42,22509.4,22509.4,0,22512.1,23198,685.9000000000015,1,3,3,1,1,,0,0,1,474.32,,,0
100,3296,33,46,22543.5,22543.5,0,22546.1,23232.1,686,1,1,1,1,1,,0,0,1,508.393,,,0
98,3297,33,39,22549.6,22549.6,0,22552.2,23238.2,686,1,4:3,4:3,2,2,,0,0,1,514.452,,,0
23,3298,33,39,22577,22577,0,22579.7,23265.6,685.8999999999978,1,1:2,1:2,2,2,,0,0,1,541.924,,,0
36,3299,33,45,22694.3,22694.3,0,22696.9,23382.9,686,1,1,1,1,1,,0,0,1,659.191,,,0
58,3300,34,2,22725.1,22725.1,0,22727.7,23413.7,686,1,2:4,2:4,2,2,,0,0,1,1.387,,,0
76,3301,34,7,22725.6,22725.6,0,22728.3,23414.2,685.9000000000015,1,4:3,4:3,2,2,,0,0,1,1.939,,,0
35,3302,34,7,22726.2,22726.2,0,22728.9,23414.8,685.8999999999978,1,4,3:4,1,2,3,1,0,1,2.541,3303:3305,81:81:96,2
81,3303,34,34,22726.8,22726.8,0,22729.4,23415.4,686,1,,3:4,0,2,3:4,2,0,0,3.083,3302:3305:3302:3305,35:35:96:35:35:96,2
3,3304,34,6,22726.9,22726.9,0,22729.6,23415.5,685.9000000000015,1,,2,0,1,2,1,0,0,3.226,3301:3306,76:76:45:45,2
